429,"Redwood City city, California","84,180","81,643"
430,"New Rochelle city, New York","80,559","81,587"
431,"Mountain View city, California","82,455","81,516"
432,"Warner Robins city, Georgia","80,494","81,446"
433,"Folsom city, California","79,475","81,224"
434,"Alhambra city, California","82,748","81,211"
435,"Gastonia city, North Carolina","80,392","81,161"
436,"Lake Charles city, Louisiana","85,352","81,097"
437,"Miami Beach city, Florida","82,345","80,671"
438,"Flint city, Michigan","81,201","80,628"
439,"Lakewood city, California","82,403","80,611"
440,"Homestead city, Florida","80,423","80,528"
441,"Rancho Cordova city, California","79,790","80,413"
442,"South Jordan city, Utah","78,082","80,139"
443,"Boynton Beach city, Florida","80,631","80,089"
444,"North Port city, Florida","75,816","80,021"
445,"Parma city, Ohio","80,824","79,982"
446,"Lehi city, Utah","77,000","79,978"
447,"Bloomington city, Indiana","79,801","79,968"
448,"Perris city, California","78,897","79,835"
449,"Plymouth city, Minnesota","81,091","79,828"
450,"Somerville city, Massachusetts","80,842","79,815"
451,"Pharr city, Texas","79,836","79,697"
452,"Frederick city, Maryland","78,215","79,588"
453,"Kissimmee city, Florida","79,158","79,436"
454,"Tustin city, California","80,023","79,430"
455,"Jonesboro city, Arkansas","78,787","79,324"
456,"Upland city, California","79,118","79,274"
457,"Milpitas city, California","80,363","79,066"
458,"Lynchburg city, Virginia","78,871","79,009"
459,"Pasco city, Washington","77,856","78,871"
460,"Napa city, California","79,051","78,818"
461,"Cedar Park city, Texas","78,038","78,693"
462,"Chino Hills city, California","78,544","78,665"
463,"Auburn city, Alabama","76,429","78,564"
464,"Bloomington city, Illinois","78,226","78,283"
465,"Pleasanton city, California","80,201","78,252"
466,"Evanston city, Illinois","78,796","77,517"
467,"Bellflower city, California","79,019","77,408"
468,"Flower Mound town, Texas","76,330","77,243"
469,"Loveland city, Colorado","76,622","77,194"
470,"Racine city, Wisconsin","77,578","77,127"
471,"Schaumburg village, Illinois","78,443","77,082"
472,"Woodbury city, Minnesota","75,479","76,990"
473,"Flagstaff city, Arizona","76,960","76,989"
474,"Hammond city, Indiana","77,607","76,984"
475,"Wyoming city, Michigan","76,772","76,749"
476,"Pittsburg city, California","76,600","76,544"
477,"Alameda city, California","78,333","76,362"
478,"Redmond city, Washington","73,422","76,354"
479,"Castle Rock town, Colorado","73,700","76,353"
480,"Apple Valley town, California","75,929","76,224"
481,"Rapid City city, South Dakota","74,350","76,184"
482,"Rochester Hills city, Michigan","76,135","76,028"
483,"Arlington Heights village, Illinois","77,377","76,000"
484,"Doral city, Florida","76,094","75,966"
485,"Southfield city, Michigan","76,367","75,898"
486,"Scranton city, Pennsylvania","75,950","75,874"
487,"Bethlehem city, Pennsylvania","75,629","75,624"
488,"Georgetown city, Texas","68,227","75,420"
489,"Pawtucket city, Rhode Island","75,721","75,387"
490,"Broomfield city, Colorado","74,513","75,325"
491,"Appleton city, Wisconsin","75,300","74,854"
492,"Missouri City city, Texas","74,380","74,850"
493,"Missoula city, Montana","73,949","74,822"
494,"Iowa City city, Iowa","74,443","74,596"
495,"Daytona Beach city, Florida","71,838","74,437"
496,"Mansfield city, Texas","72,778","74,368"
497,"Bismarck city, North Dakota","73,675","74,138"
498,"Rock Hill city, South Carolina","74,157","74,102"
499,"New Britain city, Connecticut","74,062","73,841"
500,"Bolingbrook village, Illinois","73,831","73,597"
501,"Bowling Green city, Kentucky","72,642","73,529"
502,"Lauderhill city, Florida","74,271","73,458"
503,"Redlands city, California","73,023","73,288"
504,"Kalamazoo city, Michigan","73,707","73,257"
505,"Rocklin city, California","71,801","72,975"
506,"Jacksonville city, North Carolina","73,183","72,876"
507,"Lakeville city, Minnesota","70,175","72,812"
508,"Turlock city, California","72,611","72,682"
509,"Mount Vernon city, New York","73,483","72,581"
510,"Gulfport city, Mississippi","72,837","72,105"
511,"Greenville city, South Carolina","70,899","72,095"
512,"Harlingen city, Texas","71,803","71,925"
513,"Camden city, New Jersey","71,976","71,773"
514,"Dublin city, California","72,312","71,674"
515,"St. Joseph city, Missouri","72,293","71,602"
516,"Lake Elsinore city, California","70,415","71,563"
517,"Tamarac city, Florida","71,842","71,541"
518,"Eastvale city, California","70,023","71,375"
519,"Johnson City city, Tennessee","70,576","71,278"
520,"Framingham city, Massachusetts","72,162","71,265"
521,"Waukesha city, Wisconsin","71,365","71,256"
522,"Dothan city, Alabama","71,154","71,175"
523,"Marysville city, Washington","70,894","71,144"
524,"Rogers city, Arkansas","70,123","71,112"
525,"Blaine city, Minnesota","70,505","70,935"
526,"Noblesville city, Indiana","69,800","70,926"
527,"Camarillo city, California","70,844","70,858"
528,"Lafayette city, Indiana","70,809","70,835"
529,"St. Charles city, Missouri","70,562","70,820"
530,"Wilmington city, Delaware","70,875","70,750"
531,"Tulare city, California","69,197","70,733"
532,"Maple Grove city, Minnesota","70,518","70,726"
533,"Baldwin Park city, California","72,082","70,629"
534,"Canton city, Ohio","70,784","70,426"
535,"Ankeny city, Iowa","68,316","70,287"
536,"North Richland Hills city, Texas","70,310","70,209"
537,"West Des Moines city, Iowa","68,895","69,792"
538,"Redondo Beach city, California","71,261","69,781"
539,"Walnut Creek city, California","69,974","69,695"
540,"Decatur city, Illinois","70,514","69,646"
541,"Passaic city, New Jersey","70,316","69,633"
542,"Yuba City city, California","69,952","69,536"
543,"Eau Claire city, Wisconsin","69,313","69,441"
544,"Bayonne city, New Jersey","71,546","69,211"
545,"Gaithersburg city, Maryland","69,522","69,101"
546,"Albany city, Georgia","69,486","69,048"
547,"East Orange city, New Jersey","69,577","68,903"
548,"St. Cloud city, Minnesota","68,711","68,818"
549,"Union City city, California","70,460","68,681"
550,"Eagan city, Minnesota","68,766","68,642"
551,"San Marcos city, Texas","67,701","68,580"
552,"Gary city, Indiana","68,853","68,325"
553,"Portland city, Maine","68,427","68,313"
554,"Jackson city, Tennessee","68,169","68,114"
555,"Yorba Linda city, California","68,431","67,989"
556,"Madera city, California","66,523","67,944"
557,"Shawnee city, Kansas","67,405","67,511"
558,"Haverhill city, Massachusetts","67,690","67,361"
559,"Weston city, Florida","67,928","67,312"
560,"Rockville city, Maryland","67,357","67,139"
561,"Leander city, Texas","60,965","67,124"
562,"Lodi city, California","66,471","67,021"
563,"Schenectady city, New York","66,879","66,990"
564,"Grand Junction city, Colorado","65,822","66,964"
565,"Waterloo city, Iowa","67,381","66,941"
566,"Idaho Falls city, Idaho","65,657","66,898"
567,"Pflugerville city, Texas","65,964","66,884"
568,"Davis city, California","66,659","66,799"
569,"Palo Alto city, California","68,486","66,680"
570,"Sammamish city, Washington","67,534","66,630"
571,"Oshkosh city, Wisconsin","66,693","66,607"
572,"Delray Beach city, Florida","66,839","66,573"
573,"Novi city, Michigan","66,186","66,560"
574,"Ames city, Iowa","65,999","66,424"
575,"Skokie village, Illinois","67,682","66,422"
576,"Queen Creek town, Arizona","60,942","66,346"
577,"Palatine village, Illinois","67,588","66,321"
578,"Alpharetta city, Georgia","65,968","66,127"
579,"Janesville city, Wisconsin","65,643","65,942"
580,"Union City city, New Jersey","68,087","65,638"
581,"Lynwood city, California","66,897","65,505"
582,"Lorain city, Ohio","65,324","65,430"
583,"Victoria city, Texas","65,590","65,377"
584,"Kenner city, Louisiana","66,323","65,364"
585,"Muncie city, Indiana","65,241","65,292"
586,"Conway city, Arkansas","63,783","65,121"
587,"Malden city, Massachusetts","66,114","65,074"
588,"Cheyenne city, Wyoming","65,161","65,051"
589,"Greenwood city, Indiana","64,035","64,918"
590,"Brentwood city, California","64,499","64,870"
591,"Utica city, New York","65,102","64,501"
592,"Commerce City city, Colorado","62,793","64,287"
593,"South San Francisco city, California","66,128","64,251"
594,"Laguna Niguel city, California","64,359","64,239"
595,"North Little Rock city, Arkansas","64,665","64,162"
596,"Millcreek city, Utah","63,637","64,110"
597,"Ocala city, Florida","63,600","64,096"
598,"Waltham city, Massachusetts","64,817","64,015"
599,"Burnsville city, Minnesota","64,530","63,943"
600,"San Clemente city, California","64,346","63,896"
